X,Y,OBJECTID,evt_rt,evt_rin,evt_date,location,zone,rucr,rucr_ext_d
-63.6476106489999,44.6550868620001,309,GO,1106658,2020/11/25 00:00:00,SYBYL CRT / WILLETT ST,W3,1430,ASSAULT
-63.5832166769999,44.682411304,310,GO,1106534,2020/11/25 00:00:00,JACKSON RD,E5,1430,ASSAULT
-63.6304268919999,44.6496687370001,311,GO,1106732,2020/11/25 00:00:00,JOSEPH HOWE DR,W3,1430,ASSAULT
-63.591658936,44.6548852190001,312,GO,1107439,2020/11/26 00:00:00,CHARLES ST,C4,2142,THEFT FROM VEHICLE
-63.5903911309999,44.654078864,313,GO,1106617,2020/11/25 00:00:00,ROBERTS ST,C4,2132,THEFT FROM VEHICLE
-63.573244006,44.6903512980001,314,GO,1107489,2020/11/26 00:00:00,LANCASTER DR,E5,2142,THEFT FROM VEHICLE
-63.5407535589999,44.6570208150001,315,GO,1107256,2020/11/25 00:00:00,ORION CRT / MOUNT HOPE AVE,E2,1420,ASSAULT
-63.568103642,44.69184943,316,GO,1107437,2020/11/26 00:00:00,FURY DR,E5,2142,THEFT FROM VEHICLE
-63.683137038,44.6961231130001,317,GO,1106584,2020/11/25 00:00:00,FRIESIAN CRT,W5,2132,THEFT FROM VEHICLE
-63.607752159,44.6021826260001,318,GO,1106908,2020/11/26 00:00:00,AUTUMN DR,W1,1430,ASSAULT
-63.661292668,44.6570366940001,319,GO,1106931,2020/11/26 00:00:00,THOMAS RADDALL DR,W4,1430,ASSAULT
-63.490881725,44.6842155510001,320,GO,1106927,2020/11/26 00:00:00,FOREST HILLS PKY,FOR,1610,ROBBERY
-63.5903911309999,44.654078864,321,GO,1106870,2020/11/26 00:00:00,ROBERTS ST,C4,2132,THEFT FROM VEHICLE
-63.607752159,44.6021826260001,322,GO,1106909,2020/11/26 00:00:00,AUTUMN DR,W1,1430,ASSAULT
-63.587606221,44.6868525260001,323,GO,1106821,2020/11/26 00:00:00,JOSEPH YOUNG ST,E5,1420,ASSAULT
-63.705094554,44.779365699,324,GO,1106951,2020/11/26 00:00:00,JUBILEE LANE,SAC,1420,ASSAULT
-63.574568405,44.670447552,325,GO,1106874,2020/11/26 00:00:00,NANTUCKET AVE,E4,1430,ASSAULT
-63.587606221,44.6868525260001,326,GO,1106822,2020/11/26 00:00:00,JOSEPH YOUNG ST,E5,1420,ASSAULT
-63.543777351,44.6811339400001,327,GO,1106939,2020/11/26 00:00:00,MAIN ST,E1,2120,BREAK AND ENTER
-63.56038835,44.6863150900001,328,GO,1106826,2020/11/26 00:00:00,MICMAC BLVD,E4,1430,ASSAULT
-63.659547082,44.665570002,329,GO,1106814,2020/11/26 00:00:00,BARKTON LANE,W4,2132,THEFT FROM VEHICLE
-63.594841463,44.653711447,330,GO,1106529,2020/11/25 00:00:00,WILLOW ST,C3,2132,THEFT FROM VEHICLE
